fid,Zonizzazione,classificazione,etichetta_studio,superfici km2,ID,Macro_aree,etichetta_macroarea
1232,Formazioni boschive,C1,C1,33595.3120074149,1232,Formazioni boschive: Macchia; Gariga; Prateria,C
1233,Formazioni boschive,C4,C4,883.063827894628,1233,Formazioni boschive: Macchia; Gariga; Prateria,C
1235,Formazioni boschive,C1,C1,1356.70589563996,1235,Formazioni boschive: Macchia; Gariga; Prateria,C
1236,Parco multifunzionale,PM3,PM3,16252.2590738386,1236,Parco nel Parco ex area Nomadi e aree adiacenti,PM
1237,Formazioni boschive,C1,C1,15740.8832090199,1237,Formazioni boschive: Macchia; Gariga; Prateria,C
1238,Impianti sportivi,F,F,48460.1611128822,1238,Campi Malvagno e aree per attività sportive,F
1239,Formazioni boschive,C4,C4,5301.24516779184,1239,Formazioni boschive: Macchia; Gariga; Prateria,C
1240,Aree agricole,B3,B3,1662.88752352656,1240,Aree agricole,B
1245,Formazioni boschive,C4,C4,28488.7083892138,1245,Formazioni boschive: Macchia; Gariga; Prateria,C
1246,Formazioni boschive,C1,C1,234028.396686812,1246,Formazioni boschive: Macchia; Gariga; Prateria,C
1247,Edifici da riconvertire,,E2,38.678280685097,1247,Costruito,E
1248,Edifici da riconvertire,,E2,182.957434652606,1248,Costruito,E
1249,Edifici da riconvertire,,E2,217.513048727065,1249,Costruito,E
1250,Edifici da riconvertire,,E2,531.201138533652,1250,Costruito,E
1251,Edifici da riconvertire,,E2,264.967795512639,1251,Costruito,E
1252,Edifici storici,,E1,1.25240865815431,1252,Costruito,E
1253,Edifici archeologia militare,,E4,45.9869393538684,1253,Costruito,E
1254,Edifici archeologia militare,,E4,163.192073181272,1254,Costruito,E
1255,Edifici archeologia militare,,E4,43.3625498134643,1255,Costruito,E
1256,Edifici archeologia militare,,E4,108.749285010505,1256,Costruito,E
1257,Edifici archeologia militare,,E4,40.9319225102663,1257,Costruito,E
1258,Edifici archeologia militare,,E4,149.328963205218,1258,Costruito,E
1259,Edifici archeologia militare,,E4,441.563202766702,1259,Costruito,E
1260,Edifici archeologia militare,,E4,41.2422375287861,1260,Costruito,E
1261,Edifici archeologia militare,,E4,50.0438752584159,1261,Costruito,E
1262,Edifici archeologia militare,,E4,71.2934428676963,1262,Costruito,E
1263,Edifici da riconvertire,,E2,51.4872190933675,1263,Costruito,E
1264,Edifici archeologia militare,,E4,30.8103464217857,1264,Costruito,E
1265,Edifici archeologia militare,,E4,176.860410012305,1265,Costruito,E
1266,Edifici archeologia militare,,E4,81.4371161330491,1266,Costruito,E
1267,Edifici archeologia militare,,E4,22.8064816909609,1267,Costruito,E
1268,Edifici archeologia militare,,E4,384.813587592915,1268,Costruito,E
1269,Edifici archeologia militare,,E4,492.529271767242,1269,Costruito,E
1270,Edifici archeologia militare,,E4,492.518326557009,1270,Costruito,E
1271,Edifici archeologia militare,,E4,492.559027725481,1271,Costruito,E
1272,Edifici archeologia militare,,E4,492.498387742264,1272,Costruito,E
1273,Edifici archeologia militare,,E4,492.497862680815,1273,Costruito,E
1274,Edifici archeologia militare,,E4,492.477539837069,1274,Costruito,E
1275,Edifici archeologia militare,,E4,492.487598057836,1275,Costruito,E
1276,Edifici archeologia militare,,E4,492.469324277481,1276,Costruito,E
1277,Edifici archeologia militare,,E4,492.459416871541,1277,Costruito,E
1278,Edifici archeologia militare,,E4,492.541434618703,1278,Costruito,E
1279,Edifici archeologia militare,,E4,492.551567138871,1279,Costruito,E
1280,Edifici archeologia militare,,E4,492.563372910838,1280,Costruito,E
1283,Formazioni boschive,C3,C3,25457.3746459092,1283,Formazioni boschive: Macchia; Gariga; Prateria,C
1284,Formazioni boschive,C1,C1,2737.35664439201,1284,Formazioni boschive: Macchia; Gariga; Prateria,C
1285,Formazioni boschive,C3,C3,13232.1724419094,1285,Formazioni boschive: Macchia; Gariga; Prateria,C
1286,Giardini ornamentali,A2,A2,33087.1676182697,1286,Giardini ornamentali,A
1287,Formazioni boschive,C1,C1,5065.41006047186,1287,Formazioni boschive: Macchia; Gariga; Prateria,C
1292,D viali setieri e percorsi,D,D,2231.74999489088,1292,"Viali, sentieri e percorsi",D
1294,D viali setieri e percorsi,D,D,215282.573281541,1294,"Viali, sentieri e percorsi",D
1295,D viali setieri e percorsi,D,D,2029.4514415469,1295,"Viali, sentieri e percorsi",D
1297,D viali setieri e percorsi,D,D,215282.573281541,1297,"Viali, sentieri e percorsi",D
